rse_licensee,rse_name,public_offer_status,mysuper_product_name,product_category,single_strategy_lifecycle_indicator,lifecycle_stage_name,member_assets_000,proportion_of_total_assets_in_mysuper,member_accounts,strategic_growth_asset_allocation,performance_test_measure,pass_fail_indicator,lookback_period_years,actual_return_minus_benchmark_return,representative_administration_fees_and_expenses_rafe,relevant_benchmark_representative_administration_fees_and_expenses_brafe,10_year_net_investment_return_nir_p_a,10_year_nir_relative_to_saa_benchmark_portfolio_p_a,10_year_nir_relative_to_simple_reference_portfolio_p_a,10_year_net_return_50_000_rep_member_p_a,7_year_net_investment_return_nir_p_a,7_year_nir_relative_to_saa_benchmark_portfolio_p_a,7_year_nir_relative_to_simple_reference_portfolio_p_a,7_year_net_return_50_000_rep_member_p_a,5_year_net_investment_return_nir_p_a,5_year_nir_relative_to_saa_benchmark_portfolio_p_a,5_year_nir_relative_to_simple_reference_portfolio_p_a,5_year_net_return_50_000_rep_member_p_a,3_year_net_investment_return_nir_p_a,3_year_nir_relative_to_saa_benchmark_portfolio_p_a,3_year_nir_relative_to_simple_reference_portfolio_p_a,3_year_net_return_50_000_rep_member_p_a,administration_fees_and_costs_charged_10_000_account_balance,administration_fees_and_costs_charged_25_000_account_balance,administration_fees_and_costs_charged_50_000_account_balance,administration_fees_and_costs_charged_100_000_account_balance,administration_fees_and_costs_charged_250_000_account_balance,total_fees_and_costs_charged_10_000_account_balance,total_fees_and_costs_charged_25_000_account_balance,total_fees_and_costs_charged_50_000_account_balance,total_fees_and_costs_charged_100_000_account_balance,total_fees_and_costs_charged_250_000_account_balance
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 57 to 58,,,,0.77,,,,,,,0.076,0.0091,0.0024,0.0736,0.0743,0.0092,2.00E-04,0.0719,0.0917,0.0155,0.0048,0.0892,0.096,0.0051,-0.0155,0.0936,0.0072,0.0035,0.0022,0.0016,0.0012,0.012,0.0082,0.007,0.0063,0.006
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 58 to 59,,,,0.75,,,,,,,0.0739,0.0088,0.0019,0.0715,0.0723,0.0091,0,0.0699,0.089,0.0155,0.0048,0.0865,0.0937,0.0055,-0.0152,0.0913,0.0072,0.0035,0.0022,0.0016,0.0012,0.0119,0.0082,0.0069,0.0063,0.0059
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 59 to 60,,,,0.73,,,,,,,0.0717,0.0084,0.0013,0.0694,0.0703,0.009,-3.00E-04,0.0679,0.0863,0.0155,0.0048,0.0839,0.0913,0.0058,-0.0149,0.0889,0.0072,0.0035,0.0022,0.0016,0.0012,0.0119,0.0081,0.0069,0.0063,0.0059
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 60 to 61,,,,0.71,,,,,,,0.0696,0.008,7.00E-04,0.0672,0.0683,0.0089,-5.00E-04,0.0659,0.0837,0.0155,0.0048,0.0812,0.0891,0.0061,-0.0146,0.0867,0.0072,0.0035,0.0022,0.0016,0.0012,0.0118,0.0081,0.0068,0.0062,0.0058
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 61 to 62,,,,0.7,,,,,,,0.0675,0.0076,1.00E-04,0.0651,0.0663,0.0088,-8.00E-04,0.0639,0.0811,0.0154,0.0049,0.0786,0.0868,0.0064,-0.0144,0.0844,0.0072,0.0035,0.0022,0.0016,0.0012,0.0117,0.008,0.0068,0.0061,0.0058
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 62 to 63,,,,0.68,,,,,,,0.0654,0.0072,-5.00E-04,0.063,0.0644,0.0086,-0.001,0.062,0.0785,0.0154,0.0049,0.076,0.0846,0.0066,-0.0141,0.0822,0.0072,0.0035,0.0022,0.0016,0.0012,0.0117,0.0079,0.0067,0.006,0.0057
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 63 to 64,,,,0.66,,,,,,,0.0633,0.0068,-0.001,0.0609,0.0624,0.0085,-0.0012,0.06,0.0759,0.0153,0.0049,0.0734,0.0824,0.0069,-0.0138,0.08,0.0072,0.0035,0.0022,0.0016,0.0012,0.0116,0.0078,0.0066,0.006,0.0056
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 64 to 65,,,,0.65,,,,,,,0.0611,0.0064,-0.0016,0.0588,0.0604,0.0084,-0.0014,0.058,0.0732,0.0152,0.005,0.0708,0.0801,0.0071,-0.0135,0.0778,0.0072,0.0035,0.0022,0.0016,0.0012,0.0115,0.0078,0.0065,0.0059,0.0055
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,Lifecycle Investment Strategy,MySuper Material Goodwill,Lifecycle,Age 65 and over,,,,0.64,,,,,,,0.0601,0.0061,-0.002,0.0578,0.0595,0.0081,-0.0017,0.0571,0.072,0.015,0.0048,0.0696,0.0792,0.0069,-0.0137,0.0768,0.0072,0.0035,0.0022,0.0016,0.0012,0.0115,0.0077,0.0065,0.0058,0.0055
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,,66775624,0.17,511170,,0.00175,Pass,10,0.00111,0.00185,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Aspire 1 Group,,,,0.9,,,,,,,0.0734,0.0021,-0.0025,0.0717,0.0702,-0.002,-0.0099,0.0687,0.0777,-0.0024,-0.0128,0.0761,0.0835,-0.0209,-0.0401,0.0818,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0116,0.0079,0.0067,0.006,0.0057
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Aspire 2 Group,,,,0.77,,,,,,,0.0636,0.001,-0.0029,0.062,0.06,-0.0034,-0.01,0.0584,0.0608,-0.0064,-0.0157,0.0591,0.0732,-0.0197,-0.035,0.0716,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0111,0.0074,0.0061,0.0055,0.0051
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Focus 1 Group,,,,0.77,,,,,,,0.0646,0.0017,-0.0022,0.063,0.0624,-0.0014,-0.0079,0.0609,0.0661,-0.0013,-0.0106,0.0646,0.0756,-0.0176,-0.0329,0.0741,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0111,0.0074,0.0061,0.0055,0.0051
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Focus 2 Group,,,,0.68,,,,,,,0.0588,0.0012,-0.0021,0.0571,0.0566,-0.0014,-0.0069,0.0551,0.0581,-7.00E-04,-0.0092,0.0566,0.0704,-0.0152,-0.0278,0.0689,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0107,0.007,0.0057,0.0051,0.0047
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Focus 3 Group,,,,0.59,,,,,,,0.0526,5.00E-04,-0.0023,0.051,0.0505,-0.0016,-0.0062,0.049,0.0499,-4.00E-04,-0.0081,0.0484,0.066,-0.012,-0.0221,0.0645,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0104,0.0067,0.0054,0.0048,0.0044
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Outlook Group,,,,0.9,,,,,,,0.0718,5.00E-04,-0.0041,0.0701,0.0685,-0.0037,-0.0116,0.0669,0.0763,-0.0038,-0.0142,0.0747,0.0831,-0.0213,-0.0405,0.0815,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0116,0.0079,0.0066,0.006,0.0056
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Sustain 1 Group,,,,0.54,,,,,,,0.0479,0.0017,-0.0027,0.0463,0.0472,-6.00E-04,-0.0049,0.0457,0.0519,-0.0016,5.00E-04,0.0504,0.0654,-0.0115,-0.018,0.064,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0102,0.0065,0.0052,0.0046,0.0042
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Sustain 2 Group,,,,0.5,,,,,,,0.0369,3.00E-04,-0.0044,0.0353,0.0374,-0.0013,-0.0048,0.036,0.0418,-0.0022,0.0039,0.0404,0.061,-0.0101,-0.0136,0.0595,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.01,0.0062,0.005,0.0044,0.004
Australian Retirement Trust Pty Ltd,Australian Retirement Trust,Public offer,QSuper Lifetime,Generic,Lifecycle,Sustain 3 Group,,,,0.45,,,,,,,0.037,7.00E-04,-0.0039,0.0354,0.0376,-7.00E-04,-0.004,0.0361,0.0421,-0.0013,0.0049,0.0406,0.0614,-0.0086,-0.0118,0.06,0.0068,0.0031,0.0018,0.0012,8.00E-04,0.0098,0.0061,0.0048,0.0042,0.0038
AustralianSuper Pty Ltd,AustralianSuper,Public offer,AustralianSuper MySuper,Generic,Single strategy,,239034124,0.56,3126300,0.73,0.00929,Pass,10,0.00857,0.00177,0.002482,0.0795,0.0086,0.0049,0.0775,0.0738,0.0048,-0.0014,0.0716,0.0854,0.0051,-0.0033,0.0832,0.0873,-0.0073,-0.0247,0.0854,0.0053,0.0026,0.0018,0.0013,0.0011,0.0107,0.008,0.0071,0.0067,0.0064
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,,14532499,0.13,171780,,-0.00034,Pass,10,-0.00146,0.00136,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (2005-2009),,,,0.94,,,,,,,,,,,,,,,,,,,0.1384,0.0094,0.0024,0.1378,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0112,0.0081,0.0071,0.0066,0.0063
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (2000-2004),,,,0.94,,,,,,,,,,,0.0812,-0.0029,-0.0088,0.0787,0.1126,0.0065,0.001,0.1115,0.1332,0.0042,-0.0029,0.1326,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0082,0.0072,0.0067,0.0064
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1995-1999),,,,0.94,,,,,,,0.082,-9.00E-04,-0.0056,0.0783,0.0821,-0.002,-0.008,0.0796,0.1131,0.0071,0.0015,0.112,0.1349,0.0059,-0.0011,0.1343,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0112,0.0082,0.0072,0.0066,0.0063
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1990-1994),,,,0.94,,,,,,,0.0816,-0.0013,-0.006,0.0779,0.0818,-0.0023,-0.0083,0.0793,0.1136,0.0076,0.002,0.1125,0.1356,0.0066,-5.00E-04,0.135,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0082,0.0072,0.0067,0.0064
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1985-1989),,,,0.94,,,,,,,0.0818,-0.0011,-0.0058,0.0781,0.0821,-0.002,-0.0079,0.0796,0.1143,0.0083,0.0027,0.1132,0.1366,0.0076,6.00E-04,0.136,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0083,0.0073,0.0068,0.0064
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1980-1984),,,,0.93,,,,,,,0.0815,-0.001,-0.0058,0.0778,0.0817,-0.0019,-0.0079,0.0792,0.1138,0.0086,0.0028,0.1127,0.1358,0.0082,9.00E-04,0.1352,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1975-1979),,,,0.89,,,,,,,0.0801,-0.0013,-0.0063,0.0764,0.0799,-0.0022,-0.0084,0.0774,0.1111,0.0081,0.002,0.11,0.1321,0.0082,3.00E-04,0.1315,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1970-1974),,,,0.83,,,,,,,0.0777,-0.0016,-0.0069,0.074,0.0758,-0.0031,-0.0099,0.0733,0.1045,0.0059,-0.001,0.1033,0.124,0.0076,-0.0016,0.1233,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1965-1969),,,,0.76,,,,,,,0.0724,-0.002,-0.0074,0.0686,0.0683,-0.0041,-0.0105,0.0657,0.0931,0.0045,-0.0019,0.0919,0.1145,0.0068,-0.002,0.1137,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0084,0.0073,0.0068,0.0065
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1960-1964),,,,0.66,,,,,,,0.0562,-0.0028,-0.0104,0.0524,0.0511,-0.005,-0.0141,0.0484,0.0643,0.0011,-0.0094,0.0629,0.0874,0.0034,-0.0106,0.0865,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0115,0.0084,0.0074,0.0069,0.0066
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1955-1959),,,,0.6,,,,,,,0.0487,-0.0016,-0.01,0.0449,0.0473,-0.0032,-0.0121,0.0446,0.0565,9.00E-04,-0.0081,0.055,0.0846,0.0033,-0.0095,0.0837,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1950-1954),,,,0.6,,,,,,,0.0483,-0.0016,-0.0104,0.0445,0.047,-0.0035,-0.0124,0.0442,0.0558,2.00E-04,-0.0088,0.0544,0.0842,0.0028,-0.01,0.0833,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0083,0.0073,0.0068,0.0065
Avanteos Investments Limited,Colonial First State FirstChoice Superannuation Trust,Public offer,FirstChoice Employer Super - MySuper,Generic,Lifecycle,CFS Lifestage (1945-1949),,,,0.6,,,,,,,0.0485,-0.0014,-0.0102,0.0447,0.0471,-0.0034,-0.0123,0.0444,0.056,4.00E-04,-0.0086,0.0546,0.0844,0.003,-0.0098,0.0835,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0115,0.0084,0.0074,0.0069,0.0066
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,,5839589,0.88,128930,,0.00011,Pass,10,-0.00101,0.00136,0.002482,,,,,,,,,,,,,,,,,,,,,,,,,,
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 2005-09 option,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0112,0.0082,0.0072,0.0066,0.0063
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 2000-04 option,,,,0.94,,,,,,,,,,,0.0846,3.00E-04,-0.0054,0.0823,0.116,0.01,0.0044,0.1146,0.1381,0.0092,0.0021,0.1375,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0112,0.0082,0.0072,0.0066,0.0063
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1995-99 option,,,,0.94,,,,,,,0.0821,5.00E-04,-0.0044,0.0791,0.0841,-2.00E-04,-0.0059,0.0819,0.1162,0.0102,0.0046,0.1148,0.138,0.009,0.0019,0.1373,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0112,0.0081,0.0071,0.0066,0.0063
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1990-94 option,,,,0.94,,,,,,,0.0817,0,-0.0048,0.0786,0.0835,-9.00E-04,-0.0066,0.0812,0.1155,0.0095,0.0039,0.1141,0.1378,0.0088,0.0017,0.1371,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0112,0.0081,0.0071,0.0066,0.0063
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1985-89 option,,,,0.94,,,,,,,0.0812,-5.00E-04,-0.0054,0.0781,0.083,-0.0014,-0.0071,0.0807,0.1157,0.0097,0.0041,0.1143,0.1384,0.0095,0.0024,0.1377,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0082,0.0072,0.0067,0.0064
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1980-84 option,,,,0.93,,,,,,,0.0807,-6.00E-04,-0.0055,0.0776,0.0823,-0.0015,-0.0073,0.08,0.1151,0.0098,0.0041,0.1137,0.1366,0.0089,0.0016,0.1359,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0082,0.0072,0.0067,0.0064
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1975-79 option,,,,0.89,,,,,,,0.0793,-9.00E-04,-0.006,0.0762,0.0803,-0.002,-0.008,0.0781,0.1118,0.0087,0.0027,0.1103,0.1336,0.0096,0.0018,0.1328,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0082,0.0072,0.0067,0.0064
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1970-74 option,,,,0.83,,,,,,,0.0765,-0.0016,-0.007,0.0734,0.0763,-0.0029,-0.0094,0.0741,0.1051,0.0065,-3.00E-04,0.1037,0.1244,0.008,-0.0011,0.1237,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0083,0.0072,0.0067,0.0064
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1965-69 option,,,,0.76,,,,,,,0.067,-0.0028,-0.0091,0.0639,0.068,-0.0041,-0.011,0.0657,0.0931,0.0045,-0.0019,0.0915,0.1154,0.0078,-0.001,0.1145,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0084,0.0073,0.0068,0.0065
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1960-64 option,,,,0.66,,,,,,,0.0557,-0.003,-0.0108,0.0525,0.0519,-0.0044,-0.0135,0.0495,0.0642,0.001,-0.0095,0.0625,0.0876,0.0036,-0.0104,0.0867,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0114,0.0084,0.0074,0.0069,0.0066
Avanteos Investments Limited,Essential Super,Public offer,Essential Super - MySuper,Generic,Lifecycle,Lifestage 1955-59 option,,,,0.6,,,,,,,0.0476,-0.0024,-0.0111,0.0444,0.0474,-0.0031,-0.0121,0.0449,0.0563,7.00E-04,-0.0083,0.0545,0.0853,0.0039,-0.0089,0.0843,0.0054,0.0024,0.0014,9.00E-04,5.00E-04,0.0113,0.0083,0.0073,0.0068,0.0064
